,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
14,knn,0.5419035937964378,0.7314261598571191,0.0940786416000334,0.0406837799014926,210.1,0.2,qsar,mcar
15,mice,0.4830580570745346,0.7591585581281002,0.0933492618000946,0.0550540938908223,210.1,0.2,qsar,mcar
16,sudoku,0.6088767571675551,0.7771917167771377,0.0920985383284974,0.042572044468951,316.425,0.3,qsar,mcar
17,mice,0.4696292643735646,0.7256496758116124,0.0950685554828394,0.0591782021483311,316.425,0.3,qsar,mcar
18,median,-0.0873455867678229,,0.1819173060031374,0.0804332934310128,316.425,0.3,qsar,mcar
19,missforest,0.7233797114057726,0.8456201463730999,0.0756430750283452,0.0295272566154845,316.425,0.3,qsar,mcar
20,softimpute,0.4675900891946532,0.7255139922954085,0.1338041613827877,0.0640074125292994,316.425,0.3,qsar,mcar
21,knn,0.5130927905574634,0.7280918413031989,0.097089814331245,0.0445498825501452,316.425,0.3,qsar,mcar
22,factorization,0.4304575885986557,0.6823538867617222,0.1355756789521056,0.0683479052318229,316.425,0.3,qsar,mcar
23,mean,-0.0054825477884942,,0.1747498157651356,0.101999738854491,316.425,0.3,qsar,mcar
24,median,-0.0878117826739392,,0.1797705889637728,0.0811904184481738,422.25,0.4,qsar,mcar
25,mean,-0.0047829551193826,,0.1723083978850618,0.1028455169513467,422.25,0.4,qsar,mcar
26,missforest,0.6492795212998524,0.804649005802793,0.0878265887990426,0.0355068372404238,422.25,0.4,qsar,mcar
27,softimpute,0.4052383610227503,0.6863061959700246,0.1369685286874438,0.0683737824598832,422.25,0.4,qsar,mcar
28,knn,0.4243411025898396,0.6655717910107211,0.1128866468564394,0.0535459110264492,422.25,0.4,qsar,mcar
29,factorization,0.2722193817659434,0.6199744455180852,0.1473102095299484,0.0766980319049992,422.25,0.4,qsar,mcar
30,mice,0.5064301911633128,0.7067754841234395,0.1033891181189345,0.0641333597275483,422.25,0.4,qsar,mcar
31,sudoku,0.5289729790742699,0.7143287985487825,0.1042184860301238,0.0497904845084877,422.25,0.4,qsar,mcar
32,mean,-0.0056256670502509,,0.1706123196017612,0.1027477035494291,527.45,0.5,qsar,mcar
33,factorization,-0.1009236321257038,0.5252309976712786,0.1671977510186675,0.091382541356147,527.45,0.5,qsar,mcar
34,median,-0.1055797760969915,,0.1793677425402057,0.0810539545067069,527.45,0.5,qsar,mcar
35,missforest,0.566530550128553,0.7509972801925733,0.0965456800737019,0.0408590420427749,527.45,0.5,qsar,mcar
36,softimpute,0.329423405414976,0.6386498645657659,0.1426425703956148,0.0727159984091135,527.45,0.5,qsar,mcar
37,mice,0.4436265403438719,0.6525244543673505,0.1184646926866192,0.0723058154502057,527.45,0.5,qsar,mcar
38,sudoku,0.3308588441164787,0.5530552451062799,0.1417742156172978,0.0695207637969194,527.45,0.5,qsar,mcar
39,knn,0.2674434441825933,0.5189885172034057,0.1331025776782279,0.0676888960311655,527.45,0.5,qsar,mcar
0,median,-0.1712710671685229,,0.2749864836305178,0.1396444608884557,90.04040404040404,0.1,arcene,mcar
1,softimpute,0.3009516873999695,0.4890853808108429,0.219798057360622,0.1164155277781869,90.04040404040404,0.1,arcene,mcar
2,mean,-0.0113042177157717,,0.2593946208563373,0.1878754589673833,90.04040404040404,0.1,arcene,mcar
